powerkW,datetime,temp,dirRad,diffRad,wind,solarTime,cosZenith,monthOfYear,isDaylight,isoDay_std,isoDay_sum
0.0,2021-05-27 01:15:00-07:00,20.5,0.0,0.0,27.2,-11.833333333333334,-0.4939551055374551,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 01:30:00-07:00,20.6,0.0,0.0,26.9,-11.583333333333334,-0.49046219404067576,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 01:45:00-07:00,20.6,0.0,0.0,25.5,-11.333333333333334,-0.48388612032792394,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 02:00:00-07:00,20.2,0.0,0.0,22.8,-11.083333333333334,-0.4742549274077034,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 02:15:00-07:00,19.4,0.0,0.0,17.5,-10.833333333333334,-0.4616096749318103,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 02:30:00-07:00,18.1,0.0,0.0,11.3,-10.583333333333334,-0.44600424782693754,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 02:45:00-07:00,16.8,0.0,0.0,8.4,-10.333333333333334,-0.42750510104394124,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 03:00:00-07:00,15.8,0.0,0.0,10.2,-10.083333333333334,-0.40619093657509087,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 03:15:00-07:00,15.1,0.0,0.0,12.2,-9.833333333333334,-0.3821523053034982,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 03:30:00-07:00,14.6,0.0,0.0,13.7,-9.583333333333334,-0.3554911189867434,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 03:45:00-07:00,14.2,0.0,0.0,14.2,-9.333333333333334,-0.32632004253612273,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 04:00:00-07:00,14.0,0.0,0.0,13.5,-9.083333333333334,-0.29476170310814637,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 04:15:00-07:00,14.1,0.0,0.0,10.9,-8.833333333333334,-0.26094757158154275,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 04:30:00-07:00,14.3,0.0,0.0,7.3,-8.583333333333334,-0.22501615720608956,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 04:45:00-07:00,14.6,0.0,0.0,4.8,-8.333333333333334,-0.18710950696123477,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 05:00:00-07:00,14.6,0.0,0.0,5.1,-8.083333333333334,-0.14736465917900285,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 05:15:00-07:00,14.1,0.0,0.0,4.7,-7.833333333333333,-0.10588576640187417,5,False,27.723714767011177,2135.6159992000003
0.0,2021-05-27 05:30:00-07:00,13.4,0.0,0.0,3.9,-7.583333333333333,-0.06260394516648285,5,False,27.723714767011177,2135.6159992000003
0.064,2021-05-27 05:45:00-07:00,12.6,0.0,0.0,4.7,-7.333333333333333,-0.015291120790523822,5,True,27.723714767011177,2135.6159992000003
0.704,2021-05-27 06:00:00-07:00,12.2,2.0,2.0,5.7,-7.083333333333333,0.030409082298642143,5,True,27.723714767011177,2135.6159992000003
1.216,2021-05-27 06:15:00-07:00,12.4,23.0,14.0,5.8,-6.833333333333333,0.07382586026504619,5,True,27.723714767011177,2135.6159992000003
1.792,2021-05-27 06:30:00-07:00,12.9,45.0,28.0,5.2,-6.583333333333333,0.11927938826633032,5,True,27.723714767011177,2135.6159992000003
2.9440000000000004,2021-05-27 06:45:00-07:00,13.6,71.0,41.0,4.5,-6.333333333333333,0.16570492362082823,5,True,27.723714767011177,2135.6159992000003
5.311999999999999,2021-05-27 07:00:00-07:00,14.1,103.0,52.0,4.0,-6.083333333333333,0.2126340263824202,5,True,27.723714767011177,2135.6159992000003
8.768,2021-05-27 07:15:00-07:00,14.4,142.0,61.0,4.5,-5.833333333333333,0.25975731693297704,5,True,27.723714767011177,2135.6159992000003
13.2479996,2021-05-27 07:30:00-07:00,14.5,186.0,68.0,4.9,-5.583333333333333,0.3068223118073389,5,True,27.723714767011177,2135.6159992000003
18.048,2021-05-27 07:45:00-07:00,14.6,229.0,75.0,5.4,-5.333333333333333,0.35360135202039483,5,True,27.723714767011177,2135.6159992000003
23.296,2021-05-27 08:00:00-07:00,15.1,274.0,81.0,6.2,-5.083333333333333,0.39987946722638346,5,True,27.723714767011177,2135.6159992000003
28.287999999999997,2021-05-27 08:15:00-07:00,15.6,317.0,88.0,7.0,-4.833333333333333,0.44544968369860655,5,True,27.723714767011177,2135.6159992000003
32.96,2021-05-27 08:30:00-07:00,16.5,362.0,93.0,8.2,-4.583333333333333,0.4901112821184786,5,True,27.723714767011177,2135.6159992000003
37.632,2021-05-27 08:45:00-07:00,17.3,405.0,99.0,9.4,-4.333333333333333,0.5336693244987473,5,True,27.723714767011177,2135.6159992000003
41.92,2021-05-27 09:00:00-07:00,18.0,449.0,103.0,10.0,-4.083333333333333,0.5759347666725171,5,True,27.723714767011177,2135.6159992000003
46.272000000000006,2021-05-27 09:15:00-07:00,18.6,491.0,108.0,10.2,-3.8333333333333335,0.6167248537702518,5,True,27.723714767011177,2135.6159992000003
49.856,2021-05-27 09:30:00-07:00,19.0,533.0,111.0,10.4,-3.5833333333333335,0.6558636539545485,5,True,27.723714767011177,2135.6159992000003
53.5039996,2021-05-27 09:45:00-07:00,19.5,573.0,115.0,10.2,-3.3333333333333335,0.6931826560649965,5,True,27.723714767011177,2135.6159992000003
56.63999999999999,2021-05-27 10:00:00-07:00,20.0,612.0,118.0,10.2,-3.0833333333333335,0.7285213903108244,5,True,27.723714767011177,2135.6159992000003
59.39199999999999,2021-05-27 10:15:00-07:00,20.4,648.0,121.0,10.2,-2.8333333333333335,0.7617280480490003,5,True,27.723714767011177,2135.6159992000003
61.952,2021-05-27 10:30:00-07:00,20.8,682.0,124.0,10.2,-2.5833333333333335,0.7926600856566212,5,True,27.723714767011177,2135.6159992000003
63.87200000000001,2021-05-27 10:45:00-07:00,21.2,713.0,127.0,10.0,-2.3333333333333335,0.821184802503565,5,True,27.723714767011177,2135.6159992000003
65.792,2021-05-27 11:00:00-07:00,21.8,740.0,130.0,9.7,-2.0833333333333335,0.8471798859769536,5,True,27.723714767011177,2135.6159992000003
67.648,2021-05-27 11:15:00-07:00,22.4,764.0,133.0,9.0,-1.8333333333333333,0.8705339183181682,5,True,27.723714767011177,2135.6159992000003
69.312,2021-05-27 11:30:00-07:00,23.0,786.0,135.0,7.6,-1.5833333333333333,0.8911468412029668,5,True,27.723714767011177,2135.6159992000003
69.632,2021-05-27 11:45:00-07:00,23.7,807.0,137.0,6.8,-1.3333333333333333,0.9089303748214691,5,True,27.723714767011177,2135.6159992000003
70.144,2021-05-27 12:00:00-07:00,24.4,826.0,138.0,5.8,-1.0833333333333333,0.9238083888167901,5,True,27.723714767011177,2135.6159992000003
70.272,2021-05-27 12:15:00-07:00,25.0,842.0,139.0,5.4,-0.8333333333333334,0.9357172229051737,5,True,27.723714767011177,2135.6159992000003
70.272,2021-05-27 12:30:00-07:00,25.5,856.0,139.0,5.4,-0.5833333333333334,0.9446059554053562,5,True,27.723714767011177,2135.6159992000003
70.336,2021-05-27 12:45:00-07:00,26.1,864.0,140.0,5.4,-0.3333333333333333,0.9504366182520392,5,True,27.723714767011177,2135.6159992000003
70.208,2021-05-27 13:00:00-07:00,26.6,870.0,140.0,5.5,-0.08333333333333333,0.9531843573757814,5,True,27.723714767011177,2135.6159992000003
70.208,2021-05-27 13:15:00-07:00,27.1,871.0,141.0,5.8,0.16666666666666666,0.9528375376400903,5,True,27.723714767011177,2135.6159992000003
70.144,2021-05-27 13:30:00-07:00,27.5,869.0,141.0,6.3,0.4166666666666667,0.9493977918149626,5,True,27.723714767011177,2135.6159992000003
