datetime,price,monthOfYear,Hour,dayOfWeek,difRes,difLoad,isoDay_std,priceDif1,priceRef
2021-11-29 17:00:00+01:00,421.87,11,17,0,-0.270569510760501,0.1508585139086751,21.50692826944277,176.74,245.13
2021-11-29 18:00:00+01:00,410.13,11,18,0,-0.2119576499896201,0.122801229661843,21.50692826944277,162.19,247.94
2021-11-29 19:00:00+01:00,355.06,11,19,0,-0.15818974465434918,0.12082177401214667,21.50692826944277,119.93,235.13
2021-11-29 20:00:00+01:00,310.16,11,20,0,0.010172306414780985,0.10830021744020395,21.50692826944277,114.46000000000004,195.7
2021-11-29 21:00:00+01:00,206.47,11,21,0,0.18932945816898483,0.09077003823948414,21.50692826944277,17.47,189.0
2021-11-29 22:00:00+01:00,190.0,11,22,0,0.34655041173621204,0.07659893529279448,21.50692826944277,-2.3700000000000045,192.37
2021-11-29 23:00:00+01:00,143.78,11,23,0,0.5055013493875856,0.06968583639499137,21.50692826944277,-14.509999999999991,158.29
2021-11-30 00:00:00+01:00,108.59,11,0,1,0.478221291702699,0.05168127893303166,89.9130972619625,-59.18000000000001,167.77
2021-11-30 01:00:00+01:00,100.51,11,1,1,0.5136771198397888,0.03298551673836352,89.9130972619625,-68.65999999999998,169.17
2021-11-30 02:00:00+01:00,91.93,11,2,1,0.509353238359656,0.020377785385748946,89.9130972619625,-63.69999999999999,155.63
2021-11-30 03:00:00+01:00,94.1,11,3,1,0.4769013699877111,0.011134100415295991,89.9130972619625,-42.97,137.07
2021-11-30 04:00:00+01:00,93.94,11,4,1,0.45814937872650313,0.005075839895208467,89.9130972619625,-49.900000000000006,143.84
2021-11-30 05:00:00+01:00,98.36,11,5,1,0.4287469846615994,0.001027076107828106,89.9130972619625,-59.290000000000006,157.65
2021-11-30 06:00:00+01:00,100.57,11,6,1,0.40216649219425604,-5.9540643932064126e-05,89.9130972619625,-102.73000000000002,203.3
2021-11-30 07:00:00+01:00,214.0,11,7,1,0.4417641436438942,-0.010360072044179158,89.9130972619625,-10.610000000000014,224.61
2021-11-30 08:00:00+01:00,201.0,11,8,1,0.3963406308315507,-0.008395230794421041,89.9130972619625,-107.12,308.12
2021-11-30 09:00:00+01:00,200.0,11,9,1,0.29538937690592143,-0.00866316369211533,89.9130972619625,-89.23000000000002,289.23
2021-11-30 10:00:00+01:00,210.0,11,10,1,0.3116835829047381,0.004391122489989729,89.9130972619625,-40.66,250.66
2021-11-30 11:00:00+01:00,191.0,11,11,1,0.3070410996313322,0.015331715812506513,89.9130972619625,-62.0,253.0
2021-11-30 12:00:00+01:00,196.96,11,12,1,0.29092895180010014,0.03612628570577991,89.9130972619625,-72.01000000000002,268.97
2021-11-30 13:00:00+01:00,199.9,11,13,1,0.2832369942196532,0.02659978267664965,89.9130972619625,-129.29999999999998,329.2
